_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
1230,16857,37358,trinity western university,langley, British Columbia ,canada,http://www.twu.ca,western university,london,on,canada,ivey
1231,16857,39304,trinity western university,langley, British Columbia ,canada,http://www.twu.ca,western university,london,on,canada,uwo
1232,16917,17081,tsinghua university,beijing,,china,http://www.tsinghua.edu.cn,tsinghua university,beijing,china,china,tsinghua
1233,16917,54393,tsinghua university,beijing,,china,http://www.tsinghua.edu.cn,tsinghua university,haidian,beijing,china,tsinghua
1234,16917,57559,tsinghua university,beijing,,china,http://www.tsinghua.edu.cn,tsinghua university,beijing,,china,gmail
1235,16917,38112,tsinghua university,beijing,,china,http://www.tsinghua.edu.cn,tsinghua university,beijing,,china,tsinghua
1236,16922,34075,tsukuba gakuin university,ibaraki shi,Osaka,japan,http://www.tsukuba-g.ac.jp,university tsukuba,bunkyo ku,tokyo,japan,tsukuba
1237,16938,26366,tunghai university,taichung,,taiwan,http://www.thu.edu.tw,department business administration tunghai university taiwan,taichung,,taiwan,gmail
1238,16955,58557,turku university applied sciences,turku,,finland,http://www.turkuamk.fi,university turku,pori,satakunta,finland,utu
1239,16955,4314,turku university applied sciences,turku,,finland,http://www.turkuamk.fi,university turku,turku,,finland,utu
1240,16955,24042,turku university applied sciences,turku,,finland,http://www.turkuamk.fi,university turku,turku,,finland,utu
1241,16956,58557,university turku,turku,,finland,http://www.utu.fi,university turku,pori,satakunta,finland,utu
1242,16956,4314,university turku,turku,,finland,http://www.utu.fi,university turku,turku,,finland,utu
1243,16956,24042,university turku,turku,,finland,http://www.utu.fi,university turku,turku,,finland,utu
1244,17033,58871,umea university,umea,,sweden,http://www.umu.se,umea university,umea,,sweden,umu
1245,17116,57948,adolfo ibanez university,santiago,,chile,http://www.uai.cl,university adolfo ibanez,santiago,,chile,uai
1246,17116,37632,adolfo ibanez university,santiago,,chile,http://www.uai.cl,university adolfo ibanez,santiago,rm,chile,uai
1247,17266,25347,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,getafe,madrid,spain,gmail
1248,17266,13207,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,getafe,madrid,spain,uc3m
1249,17266,8977,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,getafe,madrid,spain,uc3m
1250,17266,35602,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,getafe,madrid,spain,uc3m
1251,17266,56656,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,madrid,spain,spain,uc3m
1252,17309,53758,saint vincent martyr catholic university valencia,valencia,,spain,http://www.ucv.es,university valencia,valencia,,spain,uv
1253,17362,8862,complutense university madrid,madrid,,spain,http://www.ucm.es,university complutense de madrid,madrid,,spain,ucm
1254,17388,42781,university almeria,la canada de san urbano,Almeria,spain,http://www.ual.es,university almeria,almeria,,spain,ual
1255,17413,47620,university carabobo,valencia,Estado Carabobo,venezuela,http://www.uc.edu.ve,university carabobo,guacara,carabobo,venezuela,gmail
1256,17447,55655,university deusto,bilbao,,spain,http://www.deusto.es,university deusto,bilbao,,spain,colorado
