a_id,a_id,a_name,a_country,a_city,a_prov,a_web
362,872,altaj state university agriculture,russian federation,barnaul,altaijskij kraj,http://www.asau.ru/
363,873,altaj state university medicine,russian federation,barnaul,altaijskij kraj,http://www.agmu.ru/
364,874,altaj state technical university named after i i polzunova,russian federation,barnaul,altaijskij kraj,http://www.altstu.ru//
365,875,altaj state university,russian federation,barnaul,altaijskij kraj,http://www.asu.ru
367,878,alvernia university,united states,reading,pennsylvania,http://www.alvernia.edu
368,879,alverno college,united states,milwaukee,wisconsin,http://www.alverno.edu/
370,882,ama computer university,philippines,quezon city,"second district, metro manila",http://www.ama-university.com/
373,885,amasya university,turkey,amasya,,http://www.amasya.edu.tr/
374,886,ambedkar university,india,new delhi,110077,http://www.aud.ac.in/
375,887,amberton university,united states,garland,texas,http://www.amberton.edu
378,890,ambrose university,canada,calgary,alberta,http://www.ambrose.edu/
380,898,american college,cyprus,nicosia,,http://www.ac.ac.cy
382,900,american college acupuncture oriental medicine,united states,houston,texas,http://www.acaom.edu
383,901,american college education,united states,chicago,illinois,http://www.ace.edu/
384,902,american college ssaloniki,greece,thessaloniki,thessaloniki,http://www.act.edu
387,906,american graduate university,united states,covina,california,http://www.agu.edu
388,907,american international college,united states,springfield,massachusetts,http://www.aic.edu
390,909,american jewish university,united states,bel air,california,http://www.ajula.edu/
391,911,american sentinel university,united states,birmingham,alabama,http://www.americansentinel.edu/
392,913,american university,united states,washington,district of columbia,http://www.american.edu
393,914,american university dubai,united arab emirates,dubai,,http://www.aud.edu
394,915,american university emirates,united arab emirates,dubai,,http://www.aue.ae/
396,917,american university beirut,lebanon,beirut,,http://www.aub.edu.lb
397,918,american university culture education,lebanon,beirut,,http://auce.edu.lb
400,922,american university nigeria,nigeria,yola,adamawa state,http://www.americanuniversitynigeria.org
401,923,american university puerto rico,united states,bayamon,puerto rico,http://www.aupr.edu
402,924,american university rome,italy,rome,rome,http://www.aur.edu
403,925,american university science technology,lebanon,beirut,,http://www.aust.edu.lb
404,926,american university sharjah,united arab emirates,sharjah,,http://www.aus.edu
405,927,american university technology,lebanon,halat,mount lebanon,http://www.aut.edu.lb
406,928,american university middle east,kuwait,dasman,,http://www.aum.edu.kw
407,929,american university bosnia herzegovina,bosnia and herzegovina,sarajevo,,http://www.aubih.edu.ba
409,931,american university humanities tbilisi campus,georgia,tbilisi,,http://www.auhtc.edu/
411,933,amherst college,united states,amherst,massachusetts,http://www.amherst.edu
412,936,amirkabir university technology tehran polytechnic,iran,tehran,,http://www.aut.ac.ir
415,939,amity university rajasthan,india,jaipur,rajasthan,http://www.amity.edu/jaipur/
417,941,amridge university,united states,montgomery,alabama,http://www.amridgeuniversity.edu/
419,943,amsterdam school arts,netherlands,amsterdam,,http://www.ahk.nl
422,946,amur humanities pedagogy state university,russian federation,komsomol sk na amure,khabarovskaja oblast',http://amgpgu.kms.ru/
423,947,an najah national university,palestine,nablus,west bank,http://www.najah.edu
424,948,anadolu university,turkey,eskisehir,,http://www.anadolu.edu.tr
425,950,chukwuemeka odumegwu ojukwu university,nigeria,uli,anambra state,http://coou.edu.ng
426,951,anand agricultural university,india,anand,gujarat,http://www.aau.in/
427,952,anderson university,united states,anderson,south carolina,http://www.andersonuniversity.edu
428,953,anderson university,united states,anderson,indiana,http://www.anderson.edu
429,954,andhra pradesh university law,india,visakhapatnam,andhra pradesh,http://www.apulvisakha.org
432,958,andijan state university,uzbekistan,andijan,,http://www.adu.uz/
437,963,andres bonifacio college,philippines,dipolog city,zamboanga del norte,http://www.abcollege.edu.ph/
438,964,andres soriano college,philippines,bislig city,surigao del sur,http://andressorianocollege.com/main/?page_id=115
439,965,andres soriano memorial college,philippines,toledo city,cebu,
440,966,andrews university,united states,berrien springs,michigan,http://www.andrews.edu
441,967,angarsk state technical academy,russian federation,angarsk,irkutskaja oblast',http://www.agta.ru/
443,969,angeles university foundation,philippines,angeles city,pampanga,http://www.auf.edu.ph
444,970,angelicum college,philippines,quezon city,"second district, metro manila",http://www.angelicum.edu.ph
445,971,angelo state university,united states,san angelo,texas,http://www.angelo.edu
446,973,angkor university,cambodia,siem reap,,http://www.angkor.edu.kh/
447,974,anglia ruskin university,united kingdom,chelmsford,,http://www.anglia.ac.uk
449,977,anhui agricultural university,china,hefei,anhui province,http://www.ahau.edu.cn
450,978,anhui medical university,china,hefei,anhui province,http://www.ahmu.edu.cn
451,979,anhui normal university,china,wuhu,anhui province,http://www.ahnu.edu.cn
452,980,anhui polytechnic university,china,wuhu,anhui province,http://www.ahpu.edu.cn
453,981,anhui science technology university,china,fengyang,anhui province,http://www.ahstu.edu.cn/
456,984,anhui university finance economics,china,bengbu,anhui province,http://www.aufe.edu.cn
457,985,anhui university science technology,china,huainan,anhui province,http://www.aust.edu.cn
458,986,anhui university technology,china,ma anshan,anhui province,http://www.ahut.edu.cn
467,998,anna university anna university technology tirunelveli,india,tirunelveli,627007,
468,999,mother teresa women university,india,kodaikanal,tamilnadu,
469,1000,annamalai university,india,annamalainagar,tamil nadu,http://www.annamalaiuniversity.ac.in
470,1001,annunciation college bacon sorsogon unit,philippines,city sorsogon,sorsogon,
471,1002,athens school fine arts,greece,athinai,,http://www.asfa.gr
