person_id,person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
4038,29103,university texas school social work,austin,texas,united states,mail.utexas.edu,utexas
5848,44016,nanjing university,nanjing,jiangsu,china,sina.com,sina
1213,5572,city university london,london,,united kingdom,city.ac.uk,city
794,3632,washington state university,pullman,washington,united states,wsu.edu,wsu
3605,25149,baylor university,waco,texas,united states,baylor.edu,baylor
5324,40156,northwestern university,evanston,illinois,united states,northwestern.edu,northwestern
6335,47612,warwick business school,coventry,,united kingdom,wbs.ac.uk,wbs
6974,52224,university granada,granada,provincia,spain,ugr.es,ugr
8362,57559,tsinghua university,beijing,,china,gmail.com,gmail
4495,33192,university lethbridge,lethbridge,alberta,canada,uleth.ca,uleth
5111,38691,lincoln university,lincoln,canterbury,new zealand,lincoln.ac.nz,lincoln
7400,54831,central michigan university,mount pleasant,michigan,united states,cmich.edu,cmich
5125,38780,drexel university,philadelphia,pennsylvania,united states,drexel.edu,drexel
6979,52242,harvard business review,watertown,massachusetts,united states,hbr.org,hbr
3763,26523,jean monnet university,toulouse,cedex 9,france,univ-st-etienne.fr,univ-st-etienne
6504,48693,chinese university hong kong,hong kong,,hong kong,baf.cuhk.edu.hk,cuhk
1073,4990,university college dublin,blackrock,dublin,ireland,ucd.ie,ucd
5526,41976,harvard university,boston,,united states,hbs.edu,hbs
9475,59975,rutgers university,camden,new jersey,united states,rutgers.edu,rutgers
5736,43212,university texas el paso,el paso,texas,united states,utep.edu,utep
7636,56055,illinois state university,normal,illinois,united states,ilstu.edu,ilstu
1962,9890,iese business school,barcelona,,spain,iese.edu,iese
7932,56709,concordia university,toronto,on,canada,concordia.edu,concordia
9115,59049,university central florida,orlando,florida,united states,ucf.edu,ucf
7266,53904,stanford university,stanford,california,united states,stanford.edu,stanford
9430,59724,xi'an jiaotong university,xi an,,china,126.com,126
8023,56883,university valencia,valencia,,spain,uv.es,uv
283,1210,warwick business school,coventry,west midlands,united kingdom,wbs.ac.uk,wbs
4148,30018,university sinos valley unisinos,sao leopoldo,rs,brazil,proxima.adm.br,adm
9169,59157,university central florida,orlando,florida,united states,knights.ucf.edu,ucf
5600,42386,university pretoria,pretoria,gauteng,south africa,up.ac.za,up
4143,29984,queen mary university london,london,,united kingdom,qmul.ac.uk,qmul
8694,58166,university utah,salt lake city,utah,united states,business.utah.edu,utah
2877,17909,university malta,attard,malta,malta,um.edu.mt,um
226,980,cornell university,ithaca,new york,united states,johnson.cornell.edu,cornell
1410,6481,incae business school,alajuela,,costa rica,incae.edu,incae
1199,5521,university california los angeles,los angeles,california,united states,anderson.ucla.edu,ucla
9103,59029,inova fairfax hospitals,falls church,virginia,united states,inova.org,inova
9157,59136,university rochester,rochester,new york,united states,warner.rochester.edu,rochester
5691,42930,florida international university,miami,florida,united states,gmail.com,gmail
1528,7097,insead,singapore,,singapore,insead.edu,insead
5384,40659,harvard university,cambridge,massachusetts,united states,fas.harvard.edu,harvard
9524,60048,shrm,alexandria,virginia,united states,shrm.org,shrm
1837,9035,trinity college dublin,dublin,ireland,ireland,gmail.com,gmail
6489,48562,stanford university,stanford,california,united states,gsb.stanford.edu,stanford
7675,56150,melbourne university,melbourne,victoria,australia,unimelb.edu.au,unimelb
5605,42413,university hong kong,hong kong,,hong kong,business.hku.hk,hku
9099,59025,university oulu,oulu,,finland,oulu.fi,oulu
7805,56451,queen university,kingston,on,canada,gmail.com,gmail
6401,48010,university de chile,santiago,,chile,fen.uchile.cl,uchile
2135,11539,chuo university,hachioji,tokyo,japan,fps.chuo-u.ac.jp,chuo-u
9500,60019,iowa commission on volunteer service,des moines,iowa,united states,iowa.gov,gov
4792,35819,lawrence university,appleton,wisconsin,united states,lawrence.edu,lawrence
2083,11007,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
5858,44093,university essex,colchester,essex,united kingdom,essex.ac.uk,essex
3213,20979,virginia tech,blacksburg,virginia,united states,vt.edu,vt
6912,51893,copenhagen business school,frederiksberg,,denmark,cbs.dk,cbs
116,517,university minnesota duluth,duluth,minnesota,united states,d.umn.edu,umn
3905,28025,university regina,saskatoon,sk,canada,shaw.ca,shaw
4473,33093,university texas austin,austin,texas,united states,phd.mccombs.utexas.edu,utexas
8251,57316,claremont graduate university,claremont,california,united states,cgu.edu,cgu
5550,42174,university maryland,college park,maryland,united states,rhsmith.umd.edu,umd
6887,51718,erasmus university rotterdam,rotterdam,,netherlands,rsm.nl,rsm
5285,39965,university illinois chicago,chicago,illinois,united states,uic.edu,uic
7182,53358,university nottingham,nottingham,,united kingdom,nottingham.ac.uk,nottingham
4159,30121,mcgill university,kirkland,qc,canada,mcgill.ca,mcgill
8387,57609,peking university,beijing,,china,nsd.pku.edu.cn,pku
5774,43487,makerere university,nakawa,kampala,uganda,gmail.com,gmail
1889,9438,duke university,chapel hill,north carolina,united states,duke.edu,duke
3103,19945,university st andrews,st andrews,fife,united kingdom,st-andrews.ac.uk,st-andrews
9106,59033,oklahoma city university,oklahoma city,oklahoma,united states,my.okcu.edu,okcu
8756,58307,university queensland australia,brisbane,qld,australia,business.uq.edu.au,uq
1047,4876,university tennessee,knoxville,tennessee,united states,utk.edu,utk
5212,39362,management development institute,gurgaon,haryana,india,mdi.ac.in,mdi
1685,8022,auckland university technology,auckland,,new zealand,aut.ac.nz,aut
8098,57035,university rochester,rochester,new york,united states,mail.rochester.edu,rochester
5255,39711,indiana university bloomington,bloomington,indiana,united states,indiana.edu,indiana
8744,58270,university maryland,hyattsville,maryland,united states,gmail.com,gmail
6771,50963,california state university monterey bay,seaside,california,united states,csumb.edu,csumb
8684,58140,northwestern kellogg school management,evanston,illinois,united states,kellogg.northwestern.edu,northwestern
6538,48951,old dominion university,norfolk,virginia,united states,odu.edu,odu
6785,51139,university massachusetts amherst,amherst,massachusetts,united states,gmail.com,gmail
2634,15274,university alberta,edmonton,alberta,canada,ualberta.ca,ualberta
7613,55998,insead,singapore,,singapore,insead.edu,insead
6896,51785,university zurich,zurich,,switzerland,uzh.ch,uzh
7412,54922,national innovation office,budapest,,hungary,nih.gov.hu,gov
9230,59272,fundacao getulio vargas,sao paulo,sao paulo,brazil,gmail.com,gmail
8308,57456,university phoenix,delafield,wisconsin,united states,Phoenix.edu,Phoenix
6765,50912,university north carolina charlotte,charlotte,north carolina,united states,uncc.edu,uncc
5307,40079,university new south wales,sydney,nsw,australia,unsw.edu.au,unsw
7192,53474,university florida,gainesville,florida,united states,warrington.ufl.edu,ufl
5662,42732,virginia polytechnic institute,superior,colorado,united states,vt.edu,vt
145,655,university kentucky,lexington,kentucky,united states,gmail.com,gmail
8735,58253,university mississippi,university,mississippi,united states,bus.olemiss.edu,olemiss
552,2397,monash university,melbourne,victoria,australia,monash.edu,monash
1543,7172,university new south wales,sydney,nsw,australia,unsw.edu.au,unsw
4403,32467,embry riddle aeronautical university,daytona beach,florida,united states,erau.edu,erau
1430,6574,university regina,regina,sk,canada,uregina.ca,uregina
4414,32681,human relations,london,,united kingdom,tavinstitute.org,tavinstitute
6760,50872,cranfield school management,cranfield,,united kingdom,cranfield.ac.uk,cranfield
3851,27558,center for applied research,philadelphia,pennsylvania,united states,cfar.com,cfar
4021,28996,woodbury university,burbank,california,united states,woodbury.edu,woodbury
1955,9854,harvard university,boston,massachusetts,united states,hbs.edu,hbs
410,1740,tilburg university,tilburg,,netherlands,uvt.nl,uvt
584,2535,arizona state university,tempe,arizona,united states,asu.edu,asu
5990,45020,national university singapore,singapore,,singapore,gmail.com,gmail
2455,14198,new york university,new york,new york,united states,stern.nyu.edu,nyu
9516,60039,university buffalo state university new york,buffalo,new york,united states,buffalo.edu,buffalo
7300,54146,rwth aachen university,langenfeld,,germany,win.rwth-aachen.de,rwth-aachen
5539,42047,wu vienna,vienna,,austria,wu.ac.at,wu
3473,24019,university new south wales,sydney,nsw,australia,unsw.edu.au,unsw
3737,26258,salisbury university,salisbury,maryland,united states,salisbury.edu,salisbury
3084,19825,university southampton,southampton,hampshire,united kingdom,cantab.net,cantab
335,1418,babson college,babson park,massachusetts,united states,babson.edu,babson
8916,58687,loughborough university,leicester,,united kingdom,lboro.ac.uk,lboro
2223,12277,university liverpool,liverpool,,united kingdom,liverpool.ac.uk,liverpool
2053,10690,ivey school business,london,on,canada,ivey.uwo.ca,uwo
5068,38384,university houston,houston,texas,united states,bauer.uh.edu,uh
