person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
5716,university tennessee,knoxville,tennessee,united states,utk.edu,utk
5718,bentley university,waltham,massachusetts,united states,bentley.edu,bentley
5720,university virginia,charlottesville,virginia,united states,darden.virginia.edu,virginia
5730,bentley university,belmont,massachusetts,united states,bentley.edu,bentley
5731,new york university,new york,new york,united states,stern.nyu.edu,nyu
5734,essec,cergy pontoise,,france,essec.edu,essec
5746,massachusetts institute technology,cambridge,massachusetts,united states,mit.edu,mit
5757,georgetown university,bethesda,maryland,united states,georgetown.edu,georgetown
5768,rice university,houston,texas,united states,rice.edu,rice
5773,university bologna,bologna,,italy,unibo.it,unibo
5787,em lyon,ecully,cedex,france,em-lyon.com,em-lyon
5789,rensselaer polytechnic institute,troy,new york,united states,rpi.edu,rpi
5790,china europe international business school,shanghai,,china,ceibs.edu,ceibs
5797,boston university,boston,massachusetts,united states,bu.edu,bu
5801,arizona state university,tempe,arizona,united states,asu.edu,asu
5808,austral university,pilar,bs as,argentina,iae.edu.ar,iae
5813,pennsylvania state university,university park,pennsylvania,united states,psu.edu,psu
5814,university technology sydney,sydney,nsw,australia,uts.edu.au,uts
5815,skk graduate school business,seoul,,south korea,skku.edu,skku
5818,university western australia,crawley,perth,australia,uwa.edu.au,uwa
5819,syracuse university,syracuse,new york,united states,syr.edu,syr
5821,simon fraser university,burnaby,bc,canada,sfu.ca,sfu
5822,vanderbilt university,nashville,tennessee,united states,owen.vanderbilt.edu,vanderbilt
5828,georgia institute technology,atlanta,georgia,united states,pubpolicy.gatech.edu,gatech
5835,erasmus university rotterdam,rotterdam,,netherlands,rsm.nl,rsm
5845,suffolk university,boston,massachusetts,united states,suffolk.edu,suffolk
5857,erasmus university rotterdam,eijsden,,netherlands,rsm.nl,rsm
5859,sabanci university,istanbul,tuzla,turkey,sabanciuniv.edu,sabanciuniv
5864,loyola university maryland,baltimore,maryland,united states,loyola.edu,loyola
5866,queen university,kingston,on,canada,business.queensu.ca,queensu
5869,university houston clear lake,houston,texas,united states,uhcl.edu,uhcl
5870,university missouri,columbia,missouri,united states,health.missouri.edu,missouri
5872,northeastern university,boston,massachusetts,united states,neu.edu,neu
5877,drexel university,philadelphia,pennsylvania,united states,drexel.edu,drexel
5881,university iowa,iowa city,iowa,united states,uiowa.edu,uiowa
5882,villanova university,villanova,pennsylvania,united states,villanova.edu,villanova
5888,cornell university,ithaca,new york,united states,cornell.edu,cornell
5890,university alabama,tuscaloosa,alabama,united states,cba.ua.edu,ua
5896,bentley university,waltham,massachusetts,united states,bentley.edu,bentley
5910,university pretoria,pretoria,gauteng,south africa,up.ac.za,up
5914,duquesne university,pgh,pennsylvania,united states,duq.edu,duq
5916,university colorado boulder,boulder,colorado,united states,gmail.com,gmail
5919,insead,fontainebleau,,france,insead.edu,insead
5921,new york university,new york,new york,united states,stern.nyu.edu,nyu
5922,boston college,chestnut hill,massachusetts,united states,bc.edu,bc
5926,esade,sant cugat,,spain,esade.edu,esade
5931,pennsylvania state university,university park,pennsylvania,united states,psu.edu,psu
5936,american university,reston,virginia,united states,american.edu,american
5938,royal holloway university london,egham,,united kingdom,rhul.ac.uk,rhul
5941,harvard university,boston,massachusetts,united states,hbs.edu,hbs
5943,brandeis university,waltham,massachusetts,united states,brandeis.edu,brandeis
5951,renmin university china,beijing,,china,ruc.edu.cn,ruc
5952,pennsylvania state university,university park,pennsylvania,united states,psu.edu,psu
5957,washington university st louis,st. louis,missouri,united states,wustl.edu,wustl
5959,california state polytechnic university pomona,pomona,california,united states,csupomona.edu,csupomona
5961,university st thomas,minneapolis,minnesota,united states,stthomas.edu,stthomas
5967,oklahoma state university,stillwater,oklahoma,united states,okstate.edu,okstate
5977,american university beirut,beirut,,lebanon,aub.edu.lb,aub
5979,purdue university,west lafayette,indiana,united states,purdue.edu,purdue
5989,depaul university,chicago,illinois,united states,depaul.edu,depaul
5995,university north carolina charlotte,charlotte,north carolina,united states,uncc.edu,uncc
5997,university buffalo state university new york,buffalo,new york,united states,buffalo.edu,buffalo
6000,drexel university,philadelphia,pennsylvania,united states,gmail.com,gmail
6006,yale university,new haven,connecticut,united states,yale.edu,yale
6009,odette school business,windsor,on,canada,uwindsor.ca,uwindsor
6015,university alabama,tuscaloosa,alabama,united states,ua.edu,ua
6016,university vermont,burlington,vermont,united states,bsad.uvm.edu,uvm
6017,national university singapore,singapore,,singapore,nus.edu.sg,nus
6019,hong kong polytechnic university,hong kong,hong kong (sar),hong kong,polyu.edu.hk,polyu
6021,european university cyprus,nicosia,,cyprus,euc.ac.cy,euc
6040,babson college,wellesley,massachusetts,united states,babson.edu,babson
6043,george mason university,fairfax,virginia,united states,gmu.edu,gmu
6059,hongik university,seoul,,south korea,hongik.ac.kr,hongik
6060,university michigan,ann arbor,michigan,united states,umich.edu,umich
6061,queen university,kingston,on,canada,business.queensu.ca,queensu
6062,duke university,carrboro,north carolina,united states,duke.edu,duke
6066,university georgia,athens,georgia,united states,uga.edu,uga
6069,university toronto,toronto,on,canada,rotman.utoronto.ca,utoronto
6073,china europe international business school,shanghai,,china,ceibs.edu,ceibs
6075,fors marsh group,arlington,virginia,united states,forsmarshgroup.com,forsmarshgroup
6076,university erlangen nuremberg,nuernberg,,germany,wiso.uni-erlangen.de,uni-erlangen
6082,texas tech university,lubbock,texas,united states,ttu.edu,ttu
6083,george mason university,fairfax,virginia,united states,gmu.edu,gmu
6089,washington and jefferson college,washington,pennsylvania,united states,washjeff.edu,washjeff
6091,western illinois university,macomb,illinois,united states,wiu.edu,wiu
6099,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
6101,university california davis,davis,california,united states,ucdavis.edu,ucdavis
6102,bocconi university / sda bocconi,milano,,italy,unibocconi.it,unibocconi
6105,aalto university,espoo,,finland,aalto.fi,aalto
6107,city university london,london,new york,united kingdom,city.ac.uk,city
6108,dublin institute technology,dublin,,ireland,dit.ie,dit
6120,northwestern university,evanston,illinois,united states,kellogg.northwestern.edu,northwestern
6123,university texas austin,austin,texas,united states,mccombs.utexas.edu,utexas
6136,university south florida,tampa,florida,united states,bus.ucf.edu,ucf
6137,copenhagen business school,copenaghen,,denmark,cbs.dk,cbs
6138,technion israel institute technology,haifa,,israel,ie.technion.ac.il,technion
6139,bucknell university,lewisburg,pennsylvania,united states,Bucknell.edu,Bucknell
6146,pace university,new york,new york,united states,pace.edu,pace
6147,university dallas,irving,texas,united states,udallas.edu,udallas
6163,university maryland,college park,maryland,united states,rhsmith.umd.edu,umd
6164,university arizona,tucson,arizona,united states,eller.arizona.edu,arizona
6168,rensselaer polytechnic institute,troy,new york,united states,rpi.edu,rpi
6176,new york university,new york,new york,united states,stern.nyu.edu,nyu
6196,florida state university,tallahassee,florida,united states,fsu.edu,fsu
6203,north dakota state university,fargo,north dakota,united states,ndsu.edu,ndsu
6225,university north carolina charlotte,charlotte,north carolina,united states,uncc.edu,uncc
6227,university nottingham ningbo china,ningbo,zhejiang,china,nottingham.edu.cn,nottingham
6244,simon fraser university,burnaby,bc,canada,sfu.ca,sfu
6246,meiji university,tokyo,,japan,meiji.ac.jp,meiji
6252,university miami,coral gables,florida,united states,miami.edu,miami
6260,george mason university,fairfax,virginia,united states,gmu.edu,gmu
6262,insead,singapore,,singapore,insead.edu,insead
6279,hec paris,jouy en josas,,france,hec.fr,hec
6280,indiana university bloomington,bloomington,indiana,united states,indiana.edu,indiana
6282,peking university,beijing,,china,gsm.pku.edu.cn,pku
6284,ghent university,eeklo,,belgium,rug.ac.be,rug
6288,university messina,messina,messina,italy,unime.it,unime
6294,alba graduate business school,athens,attiki,greece,alba.edu.gr,alba
6300,sabanci university,istanbul,,turkey,sabanciuniv.edu,sabanciuniv
6301,london business school,london,,united kingdom,london.edu,london
6306,university autonoma de madrid,madrid,,spain,uam.es,uam
6307,ceibs,shanghai,,china,ceibs.edu,ceibs
6313,boston university,boston,massachusetts,united states,bu.edu,bu
6318,cornell university,ithaca,new york,united states,cornell.edu,cornell
6322,indian institute management bangalore,bangalore,,india,iimb.ernet.in,ernet
6334,university maryland,college park,maryland,united states,rhsmith.umd.edu,umd
6344,coastal carolina university,conway,south carolina,united states,coastal.edu,coastal
6346,university guelph,guelph,on,canada,uoguelph.ca,uoguelph
6352,university wisconsin milwaukee,riverside,california,united states,ucr.edu,ucr
6355,ariel university,ariel,,israel,ariel.ac.il,ariel
6357,hec montreal,montreal,qc,canada,hec.ca,hec
6368,slippery rock university,slippery rock,pennsylvania,united states,sru.edu,sru
6370,leibniz university hannover,hannover,,germany,pua.uni-hannover.de,uni-hannover
6374,boston college,chestnut hill,massachusetts,united states,bc.edu,bc
6377,bi norwegian business school,oslo,,norway,bi.no,bi
6378,abilene christian university,abilene,texas,united states,acu.edu,acu
6380,university queensland australia,brisbane,queensland,australia,business.uq.edu.au,uq
6383,iae business school argentina,pilar,buenos aires,argentina,iae.edu.ar,iae
6395,columbia university,new york,new york,united states,columbia.edu,columbia
6398,cornell university,ithaca,new york,united states,cornell.edu,cornell
6399,new york university,new york,new york,united states,stern.nyu.edu,nyu
6400,london business school,london,london,united kingdom,london.edu,london
6401,insead,singapore,,singapore,insead.edu,insead
6407,warwick business school,coventry,,united kingdom,wbs.ac.uk,wbs
6414,university central florida,orlando,florida,united states,bus.ucf.edu,ucf
6416,university washington bothell,bothell,washington,united states,u.washington.edu,washington
6417,york university,toronto,on,canada,schulich.yorku.ca,yorku
6418,university modena and reggio emilia,reggio emilia,,italy,unimore.it,unimore
6420,harvard university,cambridge,massachusetts,united states,hbs.edu,hbs
6430,lg academy seoul,seoul,,south korea,lg.co.kr,co
6439,yale university,new haven,connecticut,united states,yale.edu,yale
6442,vrije university amsterdam,amersfoort,,netherlands,tg.nl,tg
6444,wu vienna,vienna,,austria,wu.ac.at,wu
6447,university pennsylvania,philadelphia,pennsylvania,united states,wharton.upenn.edu,upenn
6454,hec montreal,montreal,qc,canada,hec.ca,hec
